"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ST. VINCENT'S EAST,010011,AL,READM-30-AMI-HRRP,139,,1.0620,13.6151,12.8204,22,07/01/2018,06/30/2021
ST. VINCENT'S EAST,010011,AL,READM-30-COPD-HRRP,101,,1.0372,19.9435,19.2283,23,07/01/2018,06/30/2021
ST. VINCENT'S EAST,010011,AL,READM-30-PN-HRRP,346,,1.0074,16.6045,16.4818,58,07/01/2018,06/30/2021
ST. VINCENT'S EAST,010011,AL,READM-30-CABG-HRRP,61,,1.1654,13.9706,11.9876,12,07/01/2018,06/30/2021
ST. VINCENT'S EAST,010011,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0233,4.4638,4.3622,Too Few to Report,07/01/2018,06/30/2021
ST. VINCENT'S EAST,010011,AL,READM-30-HF-HRRP,299,,0.9148,19.3276,21.1272,52,07/01/2018,06/30/2021
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-COPD-HRRP,N/A,,1.0200,14.5533,14.2676,Too Few to Report,07/01/2018,06/30/2021
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9313,2.8177,3.0256,Too Few to Report,07/01/2018,06/30/2021
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HF-HRRP,106,,1.0162,18.8503,18.5498,21,07/01/2018,06/30/2021
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-AMI-HRRP,N/A,,1.0363,12.2206,11.7924,Too Few to Report,07/01/2018,06/30/2021
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-PN-HRRP,214,,0.9752,14.3938,14.7605,29,07/01/2018,06/30/2021
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-PN-HRRP,214,,1.0486,17.0641,16.2740,40,07/01/2018,06/30/2021
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-CABG-HRRP,N/A,,1.0279,12.1900,11.8594,Too Few to Report,07/01/2018,06/30/2021
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-COPD-HRRP,96,,0.9592,20.1264,20.9822,16,07/01/2018,06/30/2021
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HF-HRRP,228,,0.9750,21.7946,22.3531,48,07/01/2018,06/30/2021
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9737,4.1629,4.2752,Too Few to Report,07/01/2018,06/30/2021
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-AMI-HRRP,100,,0.9436,14.0266,14.8656,11,07/01/2018,06/30/2021
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
HELEN KELLER HOSPITAL,010019,AL,READM-30-HIP-KNEE-HRRP,220,,1.1690,4.2507,3.6363,12,07/01/2018,06/30/2021
HELEN KELLER HOSPITAL,010019,AL,READM-30-HF-HRRP,261,,0.9615,18.5911,19.3353,46,07/01/2018,06/30/2021
HELEN KELLER HOSPITAL,010019,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
HELEN KELLER HOSPITAL,010019,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
HELEN KELLER HOSPITAL,010019,AL,READM-30-COPD-HRRP,220,,0.9865,17.2882,17.5253,37,07/01/2018,06/30/2021
HELEN KELLER HOSPITAL,010019,AL,READM-30-PN-HRRP,274,,1.0546,16.4587,15.6073,49,07/01/2018,06/30/2021
DALE MEDICAL CENTER,010021,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
DALE MEDICAL CENTER,010021,AL,READM-30-COPD-HRRP,N/A,,0.9672,19.1543,19.8043,Too Few to Report,07/01/2018,06/30/2021
DALE MEDICAL CENTER,010021,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
DALE MEDICAL CENTER,010021,AL,READM-30-HF-HRRP,N/A,,0.9804,20.2293,20.6338,Too Few to Report,07/01/2018,06/30/2021
DALE MEDICAL CENTER,010021,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
DALE MEDICAL CENTER,010021,AL,READM-30-PN-HRRP,49,,1.0713,16.2986,15.2136,13,07/01/2018,06/30/2021
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-PN-HRRP,N/A,,1.0030,12.6392,12.6012,Too Few to Report,07/01/2018,06/30/2021
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-COPD-HRRP,N/A,,0.9884,15.4245,15.6058,Too Few to Report,07/01/2018,06/30/2021
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-PN-HRRP,144,,1.0155,18.6332,18.3484,28,07/01/2018,06/30/2021
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HIP-KNEE-HRRP,278,,0.9969,4.3355,4.3489,12,07/01/2018,06/30/2021
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HF-HRRP,364,,0.9107,19.8167,21.7591,66,07/01/2018,06/30/2021
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-COPD-HRRP,122,,0.9953,20.8012,20.8999,25,07/01/2018,06/30/2021
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-AMI-HRRP,216,,1.1399,17.9666,15.7621,46,07/01/2018,06/30/2021
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-CABG-HRRP,N/A,,0.9532,10.7718,11.3007,Too Few to Report,07/01/2018,06/30/2021
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-PN-HRRP,271,,1.0227,17.4605,17.0735,49,07/01/2018,06/30/2021
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0037,3.7985,3.7845,Too Few to Report,07/01/2018,06/30/2021
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HF-HRRP,337,,1.0003,20.7661,20.7603,70,07/01/2018,06/30/2021
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-COPD-HRRP,139,,0.9809,18.3350,18.6911,24,07/01/2018,06/30/2021
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-AMI-HRRP,160,,1.0566,15.6742,14.8341,28,07/01/2018,06/30/2021
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-CABG-HRRP,108,,1.1035,14.5428,13.1791,18,07/01/2018,06/30/2021
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-PN-HRRP,217,,0.9737,16.5765,17.0241,34,07/01/2018,06/30/2021
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-HF-HRRP,324,,1.0249,21.1066,20.5931,70,07/01/2018,06/30/2021
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-COPD-HRRP,209,,1.0692,21.3550,19.9736,50,07/01/2018,06/30/2021
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-AMI-HRRP,113,,1.0048,13.9423,13.8758,16,07/01/2018,06/30/2021
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-CABG-HRRP,N/A,,0.8324,8.3873,10.0761,Too Few to Report,07/01/2018,06/30/2021
THE EAST ALABAMA HEALTHCARE AUTHORITY,010029,AL,READM-30-HIP-KNEE-HRRP,374,,0.9140,3.8830,4.2483,13,07/01/2018,06/30/2021
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-PN-HRRP,366,,1.0813,18.6034,17.2048,74,07/01/2018,06/30/2021
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-COPD-HRRP,140,,1.0129,19.9822,19.7272,29,07/01/2018,06/30/2021
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-CABG-HRRP,303,,0.9444,12.3122,13.0373,36,07/01/2018,06/30/2021
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-AMI-HRRP,277,,1.0646,16.8400,15.8176,50,07/01/2018,06/30/2021
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HIP-KNEE-HRRP,91,,1.3470,6.3611,4.7226,11,07/01/2018,06/30/2021
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HF-HRRP,676,,1.0131,22.3564,22.0675,152,07/01/2018,06/30/2021
COMMUNITY HOSPITAL INC,010034,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HF-HRRP,N/A,,1.0049,16.7722,16.6904,Too Few to Report,07/01/2018,06/30/2021
COMMUNITY HOSPITAL INC,010034,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
COMMUNITY HOSPITAL INC,010034,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
COMMUNITY HOSPITAL INC,010034,AL,READM-30-COPD-HRRP,N/A,,0.9810,15.7978,16.1033,Too Few to Report,07/01/2018,06/30/2021
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0399,4.8295,4.6443,Too Few to Report,07/01/2018,06/30/2021
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HF-HRRP,414,,1.1015,21.1860,19.2329,94,07/01/2018,06/30/2021
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-AMI-HRRP,N/A,,0.9367,13.2230,14.1173,Too Few to Report,07/01/2018,06/30/2021
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-PN-HRRP,353,,1.1520,18.2637,15.8539,75,07/01/2018,06/30/2021
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-COPD-HRRP,167,,1.0339,19.3957,18.7593,35,07/01/2018,06/30/2021
ANDALUSIA HEALTH,010036,AL,READM-30-PN-HRRP,160,,1.0051,17.2647,17.1778,28,07/01/2018,06/30/2021
ANDALUSIA HEALTH,010036,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ANDALUSIA HEALTH,010036,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0769,5.2221,4.8490,Too Few to Report,07/01/2018,06/30/2021
ANDALUSIA HEALTH,010036,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ANDALUSIA HEALTH,010036,AL,READM-30-HF-HRRP,229,,1.0025,22.1968,22.1405,51,07/01/2018,06/30/2021
ANDALUSIA HEALTH,010036,AL,READM-30-COPD-HRRP,119,,0.9608,20.3322,21.1612,21,07/01/2018,06/30/2021
STRINGFELLOW CAMPUS OF NORTHEAST RMC,010038,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
STRINGFELLOW CAMPUS OF NORTHEAST RMC,010038,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.1882,4.8185,4.0552,Too Few to Report,07/01/2018,06/30/2021
STRINGFELLOW CAMPUS OF NORTHEAST RMC,010038,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
STRINGFELLOW CAMPUS OF NORTHEAST RMC,010038,AL,READM-30-COPD-HRRP,100,,0.9711,17.2456,17.7590,15,07/01/2018,06/30/2021
STRINGFELLOW CAMPUS OF NORTHEAST RMC,010038,AL,READM-30-PN-HRRP,N/A,,0.9644,15.1699,15.7295,Too Few to Report,07/01/2018,06/30/2021
STRINGFELLOW CAMPUS OF NORTHEAST RMC,010038,AL,READM-30-HF-HRRP,N/A,,0.9478,16.9722,17.9068,Too Few to Report,07/01/2018,06/30/2021
HUNTSVILLE HOSPITAL,010039,AL,READM-30-PN-HRRP,1296,,1.0202,16.6300,16.3013,217,07/01/2018,06/30/2021
HUNTSVILLE HOSPITAL,010039,AL,READM-30-AMI-HRRP,770,,0.9839,12.9653,13.1775,99,07/01/2018,06/30/2021
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HF-HRRP,1243,,0.9776,20.4729,20.9409,253,07/01/2018,06/30/2021
HUNTSVILLE HOSPITAL,010039,AL,READM-30-CABG-HRRP,289,,0.8528,9.5173,11.1595,24,07/01/2018,06/30/2021
HUNTSVILLE HOSPITAL,010039,AL,READM-30-COPD-HRRP,565,,0.9984,18.4296,18.4600,104,07/01/2018,06/30/2021
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HIP-KNEE-HRRP,776,,1.2514,5.0462,4.0325,43,07/01/2018,06/30/2021
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.8026,3.9013,4.8607,Too Few to Report,07/01/2018,06/30/2021
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-AMI-HRRP,185,,1.0463,15.9831,15.2756,32,07/01/2018,06/30/2021
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HF-HRRP,285,,1.0224,24.0313,23.5058,70,07/01/2018,06/30/2021
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-COPD-HRRP,166,,1.0129,21.0576,20.7892,36,07/01/2018,06/30/2021
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-PN-HRRP,322,,0.9413,17.5677,18.6634,52,07/01/2018,06/30/2021
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-CABG-HRRP,N/A,,0.9205,10.5874,11.5017,Too Few to Report,07/01/2018,06/30/2021
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HF-HRRP,N/A,,0.9511,16.9463,17.8178,Too Few to Report,07/01/2018,06/30/2021
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-PN-HRRP,N/A,,0.9960,14.5142,14.5728,Too Few to Report,07/01/2018,06/30/2021
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-COPD-HRRP,N/A,,0.9597,17.3118,18.0385,Too Few to Report,07/01/2018,06/30/2021
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HF-HRRP,N/A,,0.9707,17.8301,18.3678,Too Few to Report,07/01/2018,06/30/2021
FAYETTE MEDICAL CENTER,010045,AL,READM-30-PN-HRRP,N/A,,0.9864,14.4453,14.6442,Too Few to Report,07/01/2018,06/30/2021
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
FAYETTE MEDICAL CENTER,010045,AL,READM-30-COPD-HRRP,N/A,,1.0225,17.3933,17.0098,Too Few to Report,07/01/2018,06/30/2021
FAYETTE MEDICAL CENTER,010045,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
FAYETTE MEDICAL CENTER,010045,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-AMI-HRRP,52,,1.0618,16.9794,15.9918,12,07/01/2018,06/30/2021
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HF-HRRP,227,,0.9803,22.1721,22.6170,49,07/01/2018,06/30/2021
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-PN-HRRP,208,,1.0919,20.3280,18.6169,49,07/01/2018,06/30/2021
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-COPD-HRRP,140,,0.9451,18.1412,19.1956,21,07/01/2018,06/30/2021
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9642,4.9052,5.0872,Too Few to Report,07/01/2018,06/30/2021
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-PN-HRRP,151,,1.0574,15.8579,14.9974,28,07/01/2018,06/30/2021
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-COPD-HRRP,86,,0.9695,16.6604,17.1850,12,07/01/2018,06/30/2021
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HF-HRRP,78,,1.0504,20.2754,19.3018,19,07/01/2018,06/30/2021
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0407,4.0788,3.9192,Too Few to Report,07/01/2018,06/30/2021
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
GREENE COUNTY HOSPITAL,010051,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
GREENE COUNTY HOSPITAL,010051,AL,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
GREENE COUNTY HOSPITAL,010051,AL,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
GREENE COUNTY HOSPITAL,010051,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-PN-HRRP,N/A,,1.0369,15.8133,15.2508,Too Few to Report,07/01/2018,06/30/2021
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
FLOWERS HOSPITAL,010055,AL,READM-30-AMI-HRRP,264,,1.0289,13.8383,13.4499,38,07/01/2018,06/30/2021
FLOWERS HOSPITAL,010055,AL,READM-30-PN-HRRP,347,,0.9753,15.2220,15.6068,51,07/01/2018,06/30/2021
FLOWERS HOSPITAL,010055,AL,READM-30-CABG-HRRP,N/A,,1.1660,13.8119,11.8458,Too Few to Report,07/01/2018,06/30/2021
FLOWERS HOSPITAL,010055,AL,READM-30-HIP-KNEE-HRRP,329,,1.0420,4.0437,3.8807,14,07/01/2018,06/30/2021
FLOWERS HOSPITAL,010055,AL,READM-30-COPD-HRRP,181,,0.9497,18.2244,19.1905,29,07/01/2018,06/30/2021
FLOWERS HOSPITAL,010055,AL,READM-30-HF-HRRP,388,,0.9543,19.5979,20.5357,73,07/01/2018,06/30/2021
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-COPD-HRRP,145,,1.0037,18.4215,18.3532,27,07/01/2018,06/30/2021
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-PN-HRRP,365,,1.0200,16.5855,16.2600,62,07/01/2018,06/30/2021
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-HF-HRRP,392,,0.9970,20.7144,20.7775,81,07/01/2018,06/30/2021
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-HIP-KNEE-HRRP,754,,0.6949,2.6670,3.8382,14,07/01/2018,06/30/2021
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-AMI-HRRP,166,,1.0264,14.8353,14.4540,26,07/01/2018,06/30/2021
ST VINCENT'S BIRMINGHAM,010056,AL,READM-30-CABG-HRRP,73,,1.0904,12.3849,11.3583,11,07/01/2018,06/30/2021
